party,state,abbreviation,website
FDP,Thüringen,TH,https://www.fdp-thueringen.de
SPD,Baden-Württemberg,BW,https://www.spd-bw.de
SPD,Bayern,BY,https://www.bayernspd.de
SPD,Berlin,BE,https://www.spd.berlin
SPD,Brandenburg,BB,http://www.spd-brandenburg.de
SPD,Bremen,HB,https://www.spd-land-bremen.de/Page2.html
SPD,Hamburg,HH,https://www.spd-hamburg.de
SPD,Hessen,HE,https://www.spd-hessen.de
SPD,main_website,-,https://www.spd.de
SPD,Mecklenburg-Vorpommern,NI,https://www.spd-mvp.de
SPD,Niedersachsen,MV,https://www.spdnds.de
SPD,Nordrhein-Westfalen,NW,https://www.nrwspd.de
SPD,Rheinland-Pfalz,RP,https://www.spd-rlp.de/web/
SPD,Saarland,SL,https://www.spd-saar.de
SPD,Sachsen,SN,https://www.spd-sachsen.de
SPD,Sachsen-Anhalt,ST,https://www.spd-sachsen-anhalt.de
SPD,Schleswig-Holstein,SH,https://www.spd-schleswig-holstein.de
SPD,Thüringen,TH,https://www.spd-thueringen.de
