"Account","Codename","URL","List"
"Prof. Michael Kaufmann","AfDKaufmann","https://www.facebook.com/212830898880956","AFD_FB_BTW21"
"Kay-Uwe Ziegler MdB","KayUweZiegler71","https://www.facebook.com/1829143163972472","AFD_FB_BTW21"
"Andreas Kohlberger","AndreasKohlberger.RO","https://www.facebook.com/1262405703923709","AFD_FB_BTW21"
"Martin Hess MdB","Martin.Hess.AfD","https://www.facebook.com/1299558906757745","AFD_FB_BTW21"
"Edgar Naujok, AfD","naujok.afd","https://www.facebook.com/613418012814959","AFD_FB_BTW21"
"Dr. Michael Espendiller, MdB","EspendillerM","https://www.facebook.com/798071870367436","AFD_FB_BTW21"
"Lutz Wagner - Alternative für Deutschland","","https://www.facebook.com/100551571855372","AFD_FB_BTW21"
"Lars Günther - AfD","www.larsguenther.jetzt","https://www.facebook.com/970527929655126","AFD_FB_BTW21"
"Eike Reimers","eike.julius.reimers","https://www.facebook.com/768351183334576","AFD_FB_BTW21"
"Jan Wenzel Schmidt - AfD","jan.schmidt.afd","https://www.facebook.com/922499797823855","AFD_FB_BTW21"
"Dr. Daniela Oeynhausen","DanielaOeynhausen","https://www.facebook.com/100205555450460","AFD_FB_BTW21"
"Klaus Lange","KlausLangeAfD","https://www.facebook.com/101868531713711","AFD_FB_BTW21"
"Dominik Kaufner","dominikkaufner","https://www.facebook.com/1206636992847235","AFD_FB_BTW21"
"Gerhard Schenk MdL","GerhardSchenkMdL","https://www.facebook.com/109123310453386","AFD_FB_BTW21"
"Klaus Stöber, MdB","klaus.stoeber.afd","https://www.facebook.com/182076932294185","AFD_FB_BTW21"
"Robert Hennig AfD","","https://www.facebook.com/107556981612447","AFD_FB_BTW21"
"Matthias Moosdorf MdB","matth.moosdorf","https://www.facebook.com/105237008197753","AFD_FB_BTW21"
"Daniel Münschke","Muenschke.Daniel","https://www.facebook.com/385552031916959","AFD_FB_BTW21"
"Prof. Dr. Harald Weyel","H.Weyel","https://www.facebook.com/118445328784907","AFD_FB_BTW21"
"Franziska Gminder","FGminder","https://www.facebook.com/1906366056249428","AFD_FB_BTW21"
"Florian Meyer - AfD","Florian.Meyer.Osnabrueck","https://www.facebook.com/103364231276195","AFD_FB_BTW21"
"Andreas Paul","","https://www.facebook.com/101846145273735","AFD_FB_BTW21"
"AfD im Bezirksrat Ahlem-Badenstedt-Davenstedt, Hannover","AfDBezirksratsfraktion","https://www.facebook.com/102481658774596","AFD_FB_BTW21"
"Thomas Ehrhorn AfD","","https://www.facebook.com/945204268844750","AFD_FB_BTW21"
"Marco Staudt, AfD Kommunal Politiker Landkreis Kusel","staudt.marco","https://www.facebook.com/100341845390306","AFD_FB_BTW21"
"Andreas Lichert","andreas.lichert.afd","https://www.facebook.com/121638038289317","AFD_FB_BTW21"
"Wilko Möller MdL","WilkoMoellerMdL","https://www.facebook.com/169074500389093","AFD_FB_BTW21"
"Steffen Beckmann AfD","beckmann.afd.schwerin","https://www.facebook.com/2242760109144391","AFD_FB_BTW21"
"AfD Thomas Stephan","","https://www.facebook.com/615986052202631","AFD_FB_BTW21"
"Martin Rothweiler - AfD","MartinRothweilerAfD","https://www.facebook.com/1895458617396005","AFD_FB_BTW21"
"Joachim Schneider","Joachim.Schneider.AfD","https://www.facebook.com/1095797040548059","AFD_FB_BTW21"
"Gerd Plorin","afd.kleve","https://www.facebook.com/329677714159587","AFD_FB_BTW21"
"Armin Paul Hampel","ArminPaulHampelAfD","https://www.facebook.com/775301135895039","AFD_FB_BTW21"
"Andreas Mrosek","AndreasMrosek","https://www.facebook.com/121723718018539","AFD_FB_BTW21"
"Hansjörg Müller","HansjoergMuellerMdB","https://www.facebook.com/945916115500427","AFD_FB_BTW21"
"Albrecht Glaser","AlbrechtGlaser","https://www.facebook.com/1695216187437098","AFD_FB_BTW21"
"Paul V. Podolay","podolaypaul","https://www.facebook.com/498311506904112","AFD_FB_BTW21"
"Florian Jäger","derJaeger.afd","https://www.facebook.com/341660319295622","AFD_FB_BTW21"
"Jürgen Pohl, MdB","juergen.pohl.afd","https://www.facebook.com/255285948254612","AFD_FB_BTW21"
"Siegbert Droese","siegbert.droese.afd","https://www.facebook.com/1004458953031323","AFD_FB_BTW21"
"Volker Münz MdB","vmuenz","https://www.facebook.com/246266459148297","AFD_FB_BTW21"
"Ulrich Oehme","ulrich.oehme.official","https://www.facebook.com/198226823866927","AFD_FB_BTW21"
"Frank Pasemann","PasemannAfD","https://www.facebook.com/1308979889148955","AFD_FB_BTW21"
"Dr. Robby Schlund, MdB 19.WP","robby.schlund.mdb.19WP","https://www.facebook.com/1376838535690807","AFD_FB_BTW21"
"Berengar Elsner v. Gronow","ElsnervonGronow","https://www.facebook.com/742811825755690","AFD_FB_BTW21"
"Fabian Jacobi MdB","MdB.Jacobi","https://www.facebook.com/383774081995085","AFD_FB_BTW21"
"Matthias Vogler","VoglerMatthias","https://www.facebook.com/1811872242414051","AFD_FB_BTW21"
"Udo Hemmelgarn","HemmelgarnUdo","https://www.facebook.com/1559497394357047","AFD_FB_BTW21"
"René Jentzsch","afdjentzsch","https://www.facebook.com/1665050493571260","AFD_FB_BTW21"
"Sebastian Maack","MaackSebastian","https://www.facebook.com/162605307795210","AFD_FB_BTW21"
"Uta Opelt","uta.opelt","https://www.facebook.com/1806104306078869","AFD_FB_BTW21"
"Holger Zielinski AfD","holger.zielinski.afd","https://www.facebook.com/1331827596959627","AFD_FB_BTW21"
"Gerhard Bärsch, AfD","GBaersch","https://www.facebook.com/794508950738038","AFD_FB_BTW21"
"Christoph Högel - AfD","christophhoegel","https://www.facebook.com/316177542661181","AFD_FB_BTW21"
"Andrea Zürcher - AfD","ZuercherAfD","https://www.facebook.com/101695194603053","AFD_FB_BTW21"
"Nico Köhler","nico.koehler.chemnitz","https://www.facebook.com/257500814407838","AFD_FB_BTW21"
"Ferdinand Ludwig Weber","FerdinandLudwigWeber","https://www.facebook.com/189734418446052","AFD_FB_BTW21"
"Kristof Heitmann - AfD","kristofheitmannafd","https://www.facebook.com/293465744066896","AFD_FB_BTW21"
"Otto Hiller von Gaertringen AfD","","https://www.facebook.com/795307310616152","AFD_FB_BTW21"
"Ingo Reetzke, AfD","IngoReetzkeAfD","https://www.facebook.com/100195701790183","AFD_FB_BTW21"
"Nicolas Gregg - AfD","GreggAfD","https://www.facebook.com/104163394950866","AFD_FB_BTW21"
"Jochen Haug, MdB","JochenHaugAfD","https://www.facebook.com/110377990871598","AFD_FB_BTW21"
"Alexander Raue","AlexanderRaueAfD","https://www.facebook.com/360663038033776","AFD_FB_BTW21"
"Thorsten Althaus","Bildungspolitiker","https://www.facebook.com/107560151397516","AFD_FB_BTW21"
"Andreas Geitz","afdhaspe","https://www.facebook.com/429092151323885","AFD_FB_BTW21"
"Michael Weiß","MichaelWeissAfD","https://www.facebook.com/101438112208834","AFD_FB_BTW21"
"Günter Koch","Koch.AfD","https://www.facebook.com/103556338657297","AFD_FB_BTW21"
"Sascha Schlösser","AlternativeausErfurt","https://www.facebook.com/2293016507646939","AFD_FB_BTW21"
"Kerstin Hanske AfD","KerstinHanskeAfD","https://www.facebook.com/100969482201274","AFD_FB_BTW21"
"Sascha Lensing","","https://www.facebook.com/108769000974500","AFD_FB_BTW21"
"Harald Wiese","WieseAfDDiepholz","https://www.facebook.com/1861702514046936","AFD_FB_BTW21"
